Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
74th Golden Globe Awards,2017,08 Jan 2017,180 min,Documentary,Louis J. Horvitz,"Barry Adelman, Jonathan Adler (special material by), Chris Belair (special material by), Dave Boone (special material by), Patrick Borelli (special material by), Gerard Bradford (special material by), Josh Comers (special material by), Erin David (special material by), Mike DiCenzo (special material by), Mike Drucker (special material by), Caroline Eppright (special material by), Jimmy Fallon (special material by), Wayne Federman (special material by), John Haskell (special material by), Becky Krause (special material by), Stephen J. Levinson (special material by), Jon Macks (special material by), Paul Masella (special material by), Arthur Meyer (special material by), A.D. Miles (special material by), Chase Mitchell (special material by), Dan Opsal (special material by), Paula Pell (special material by), Jon Rineman (special material by), Albertina Rizzo (special material by)","Rami Malek, Mahershala Ali, Brie Larson, Viggo Mortensen","Comic Jimmy Fallon hosts a celebration of achievements in television and film, with actors Steve Carell, Anna Kendrick, Sofía Vergara and Brie Larson presenting awards and Golden Globe ...",USA,N/A,,N/A,5.6,580,tt5824900,movie,N/A,N/A
The Late Late Show with James Corden,2015–,23 Mar 2015,60 min,"Comedy, Talk-Show",N/A,N/A,"James Corden, Reggie Watts","Each week night, The Late Late Show with James Corden throws a late-night after-party with a mix of celebrity guests, edgy musical acts, games and sketches. Corden differentiates his show by offering viewers a peek behind the scenes into the green room, bringing all of his guests out at once and lending his musical and acting talents to various sketches. Additionally, bandleader Reggie Watts and ...",USA,Won 1 Primetime Emmy. Another 1 win & 19 nominations.,,N/A,6.3,"4,251",tt4280606,series,,
Hollywood Film Awards,2016,06 Nov 2016,N/A,N/A,Jim Tanker,"Dave Boone, Jon Macks","Casey Affleck, Mahershala Ali, Warren Beatty, Lily Collins",N/A,USA,N/A,,N/A,N/A,N/A,tt6236522,movie,N/A,N/A
Access Hollywood,1996–,01 Sep 1996,30 min,News,N/A,Ann Lewis,Billy Bush,"Celebrity information, hollywood gossip, and other news from the world of entertainment.",USA,2 wins & 8 nominations.,,N/A,3.5,421,tt0167515,series,,
Le grand journal de Canal+,2004–,30 Aug 2004,60 min,"Documentary, Comedy, Talk-Show",N/A,N/A,"Michel Denisot, Jean-Michel Aphatie, Ariane Massenet",N/A,France,N/A,,N/A,5.7,210,tt0426701,series,,
Mr. Gaga,2015,01 Feb 2017,100 min,"Documentary, Biography",Tomer Heymann,Tomer Heymann,"Ohad Naharin, Tzofia Naharin, Olivia Ancona, Avi Belleli","Mr. Gaga tells the story of Ohad Naharin, renowned choreographer and artistic director of the Batsheva Dance Company, an artistic genius who redefined the language of modern dance.","Israel, Sweden, Germany, Netherlands",3 wins & 11 nominations.,86%,71,7.6,701,tt3412684,movie,"$173,994",Heyman Brothers Films
A.M.P.A.S. Tribute Film: Jean Claude Carriere,2014,08 Nov 2014,N/A,Biography,Michèle Ohayon,N/A,"Juliette Binoche, Richard Gere, Isabelle Huppert, Jeremy Irons",N/A,USA,N/A,,N/A,N/A,N/A,tt4249686,movie,N/A,N/A
Paris dernière,1999–,N/A,N/A,Documentary,N/A,N/A,Frédéric Taddeï,N/A,France,1 nomination.,,N/A,8.0,20,tt0346366,series,,
Late Night with Jimmy Fallon,2009–,02 Mar 2009,60 min,"Comedy, Music, Talk-Show",N/A,N/A,"Jimmy Fallon, The Roots, Steve Higgins",Comedian Jimmy Fallon hosts a late-night talk show.,USA,Won 3 Primetime Emmys. Another 3 wins & 16 nominations.,,N/A,6.9,"11,607",tt1231460,series,,
Thor: The Dark World Special,2013,01 Oct 2013,5 min,"Documentary, Short",N/A,N/A,"Kat Dennings, Christopher Eccleston, Kevin Feige, Chris Hemsworth",N/A,UK,N/A,,N/A,6.5,10,tt3313706,movie,N/A,N/A
The Graham Norton Show,2007–,22 Feb 2007,60 min,"Comedy, Music, Talk-Show",N/A,N/A,Graham Norton,"Irish comedian Graham Norton hosts his very own chat show, which includes chatting to A-list celebrities, the very famous Red Chair game, live music, lots of jokes and fun from Graham and the celebrities themselves.",UK,6 wins & 15 nominations.,,N/A,8.3,"8,618",tt0924651,series,,
The 84th Annual Academy Awards,2012,26 Feb 2012,N/A,Comedy,"Don Mischer, Kabir Akhtar, Archie Gips, Christopher Guest, Henry Hobson, Troy Miller","Jon Macks, Dave Boone, Carol Leifer, Tim Carvell (special material written by), Jeff Cesario (special material written by), Billy Crystal (special material written by), Ed Driscoll (special material written by), Billy Martin (special material written by), Ben Schwartz (special material written by), Marc Shaiman (special material written by), Eric Stangel (special material written by), Justin Stangel (special material written by), David Steinberg (special material written by), Mason Steinberg (special material written by), Colleen Werthmann (special material written by)","Michelle Williams, Tom Cruise, Christian Bale, Bradley Cooper",Annual awards presentation honoring the best film achievements of 2011.,USA,Won 1 Primetime Emmy. Another 1 win & 10 nominations.,,N/A,7.3,"1,756",tt2089826,movie,N/A,N/A
The 69th Annual Golden Globe Awards,2012,15 Jan 2012,N/A,N/A,Louis J. Horvitz,"Ricky Gervais (special material written by), Jon Macks (special material by)","Leonardo DiCaprio, Johnny Depp, Emily Blunt, Shailene Woodley",The annual Golden Globe Awards hosted by Ricky Gervais.,USA,N/A,,N/A,7.2,455,tt2125640,movie,N/A,N/A
Thor: Assembling the Troupe,2011,13 Sep 2011,5 min,Short,N/A,N/A,"Kenneth Branagh, Craig Kyle, Natalie Portman, Don Payne","A short piece that looks at the casting and subsequent work of Chris Hemsworth, Natalie Portman, and Anthony Hopkins.",USA,N/A,,N/A,6.7,15,tt5484382,movie,N/A,N/A
Thor: Our Fearless Leader,2011,13 Sep 2011,3 min,Short,N/A,N/A,"Victoria Alonso, Kenneth Branagh, Kevin Feige",A look at Branagh and his direction.,USA,N/A,,N/A,N/A,N/A,tt5484228,movie,N/A,N/A
