Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
New Blood,1999,16 Jun 2000,98 min,"Action, Thriller",Michael Hurst,Michael Hurst,"John Hurt, Nick Moran, Carrie-Anne Moss, Shawn Wayans","One morning, the cops find eight dead bodies, gunshot victims, near a farmhouse. They also find a wounded man who tells the story of what happened. He is Alan White (Sir John Hurt), the ...","UK, Canada",N/A,,N/A,5.5,649,tt0177943,movie,N/A,Sony Pictures Home Entertainment
The Secret Life of Algernon,1997,N/A,106 min,Comedy,Charles Jarrott,"John Cullum, John Gray, Russell Greenan (novel), Charles Jarrott","John Cullum, Carrie-Anne Moss, Charles Durning, Hrant Alianak","Algernon is an old man who lives alone, having conversations with a porcelain cat and enjoys making things out of bones... he boils a neighbor's dead dog for the bones... and he is visited ...","UK, Canada",1 win & 2 nominations.,,N/A,6.0,103,tt0169214,movie,N/A,N/A
Viper,1994–1999,02 Jan 1994,60 min,"Action, Adventure, Crime, Drama, Sci-Fi",N/A,"Danny Bilson, Paul De Meo","Joe Nipote, Heather Medway, Jeff Kaake, J. Downing","In the near future, an organized crime group known as the ""Outfit"" has become a major force in America. Engineer Julian Wilkes develops a high-tech crime-fighting vehicle called the Viper, ...","USA, Canada",N/A,,N/A,6.0,"1,334",tt0108983,series,,
Lethal Tender,1996,14 Mar 1997,90 min,"Action, Thriller",John Bradshaw,Tony Johnston,"Jeff Fahey, Kim Coates, Carrie-Anne Moss, Gary Busey","Bad guys are poisoning drinking water, and there is only one man who can stop them, Jeff Fahey.",Canada,N/A,,N/A,4.5,310,tt0119520,movie,N/A,Republic Pictures Home Video
Due South,1994–1999,23 Apr 1994,46 min,"Adventure, Drama, Comedy",N/A,Paul Haggis,"Paul Gross, Beau Starr, Tony Craig, David Marciano",The cases of a cynical American police detective and a upright Royal Canadian Mounted Police constable in the city of Chicago.,"Canada, USA",19 wins & 46 nominations.,,N/A,8.1,"5,074",tt0108756,series,,
Models Inc.,1994–1995,29 Jun 1994,60 min,Drama,N/A,"Charles Pratt Jr., Frank South","Linda Gray, Cameron Daddo, David Goldsmith, Teresa Hill","Hilary Michaels, the estranged mother of Amanda Woodward, is the owner, president and CEO of Models Inc., a top Los Angeles modeling agency which, like her ruthless and aggressive daughter ...",USA,N/A,,N/A,6.5,879,tt0108862,series,,
The Soft Kill,1994,25 Oct 1994,94 min,"Mystery, Thriller",Eli Cohen,"Yitzhak Ginsberg (story), Alex Kustanovich (screenplay), Alex Kustanovich (story), Michele Noble (screenplay)","Michael Harris, Brion James, Carrie-Anne Moss, Matt McCoy","Private investigator and former police detective Jack Ramsey is enjoying an affair with the local district attorney's wife, but no longer, after she is strangled soon after he has departed following a session of amorous activity.",USA,N/A,,N/A,4.9,192,tt0111228,movie,N/A,N/A
Baywatch,1989–2001,22 Sep 1989,60 min,"Action, Adventure, Crime, Drama, Romance",N/A,"Michael Berk, Gregory J. Bonann, Douglas Schwartz","David Hasselhoff, Jeremy Jackson, Michael Newman, Pamela Anderson","At a Los Angeles beach, a team of lifeguards led by Lieutenant Mitch Buchannon save lives, deal with personal dramas, fight crime and participate in over the top adventures on a daily basis.",USA,5 wins & 14 nominations.,,N/A,5.2,"22,572",tt0096542,series,,
L.A. Law,1986–1994,15 Sep 1986,46 min,Drama,N/A,"Steven Bochco, Terry Louise Fisher","Corbin Bernsen, Jill Eikenberry, Alan Rachins, Michael Tucker",The lives and work of the staff of a major Los Angeles law firm.,USA,Won 5 Golden Globes. Another 40 wins & 147 nominations.,,N/A,7.0,"3,791",tt0090466,series,,
Matrix,1993–,01 Mar 1993,60 min,"Action, Drama, Fantasy, Thriller",N/A,Grenville Case,"Nick Mancuso, Phillip Jarrett, Carrie-Anne Moss, John Vernon","Steven Matrix is one of the underworld's foremost hitmen until his luck runs out, and someone puts a contract out on him. Shot in the forehead by a .22 pistol, Matrix ""dies"" and finds ...",Canada,1 win.,,N/A,8.1,120,tt0106062,series,,
Street Justice,1991–1993,29 Sep 1991,44 min,"Action, Adventure",N/A,N/A,"Carl Weathers, Bryan Genesse, Charlene Fernetz, Marcus Chong","Adam Beaudreaux was a soldier in Vietnam, when he got wounded. He was fortunate that a young boy named Grady Jameson, whose parents were missionaries, found him and got him to help. Years ...","Canada, USA",1 win.,,N/A,7.5,126,tt0101209,series,,
Down the Shore,1992–1993,21 Jun 1992,30 min,Comedy,N/A,Alan Kirschenbaum,"Louis Mandylor, Anna Gunn, Lew Schneider, Cathryn de Prume",A sitcom about a New Jersey Shore vacation house. Down the shore is how the locals refer to it.,USA,N/A,,N/A,7.4,43,tt0103404,series,,
Deadly Nightmares,1983–1991,23 Nov 1983,26 min,"Drama, Horror, Sci-Fi",N/A,"Lewis Chesler, Riff Markowitz, Richard Rothstein",Page Fletcher,Fictional stories are told in this television series by The Hitchhiker. Each story is usually a mysterious thriller.,"France, Canada, USA",9 wins & 21 nominations.,,N/A,6.9,"1,060",tt0085031,series,,
The Clockwork Girl,2014,12 Jan 2014,84 min,Animation,Kevin Konrad Hanna,"Jennica Harper (screenplay), Sean Patrick O'Reilly (story)","Alexa PenaVega, Carrie-Anne Moss, Brad Garrett, Jeffrey Tambor","A nameless robot girl has recently been given the gift of life from her creator, while exploring the wonders of an ordinary world she meets an amazing mutant boy and they share a friendship that must overcome their warring families.","Canada, South Korea",N/A,,N/A,7.0,124,tt1290393,movie,N/A,Luximation
The Matrix Revisited,2001,20 Nov 2001,123 min,Documentary,Josh Oreck,N/A,"Lorenzo di Bonaventura, Joel Silver, Bill Pope, Owen Paterson","An ""extras-only"" DVD, packed with documentaries and behind-the-scenes footage from the filming of the ground-breaking 1999 movie ""The Matrix"". Includes a rare interview with the elusive ...",USA,N/A,71%,N/A,7.4,"2,937",tt0295432,movie,N/A,WARNER BROTHERS PICTURES
Headless Body in Topless Bar,1995,16 Feb 1996,110 min,"Comedy, Crime, Drama, Thriller",James Bruce,Peter Koper,"Raymond J. Barry, Rustam Branaman, Jennifer MacDonald, Taylor Nichols","Late one night, in a seedy topless bar, a group of men watch a stripper dance over their malted beverages. But, one of them is an ex-con who's about to put the group on a collision course ...",USA,N/A,,N/A,4.8,193,tt0113276,movie,N/A,Eclectic DVD Distribution
Building Vegas,2013,17 Sep 2013,16 min,Short,N/A,N/A,"Michael Chiklis, Kathleen Detoro, Taylor Handley, Cathy Konrad",N/A,USA,N/A,,N/A,N/A,N/A,tt3248798,movie,N/A,N/A
The Making of Disturbia,2007,07 Aug 2007,15 min,Short,N/A,N/A,"D.J. Caruso, Carl Ellsworth, Shia LaBeouf, Christopher Landon","It mixes movie clips, shots from the set, and interviews. We hear from DJ Caruso, Shia LaBeouf, Sarah Roemer, producer Joe Medjuck, screenwriters Christopher Landon and Carl Ellsworth, ...",USA,N/A,,N/A,N/A,N/A,tt5247782,movie,N/A,N/A
Snow Cake: Autism Awareness,2007,25 Apr 2007,5 min,Documentary,N/A,N/A,"Marc Evans, Carrie-Anne Moss, Alan Rickman, Sigourney Weaver","Actors Signourney Weaver, Alan Rickman and director Marc Evans discuss the portrayal of autism in the IFC drama, Snow Cake.",USA,N/A,,N/A,7.8,8,tt1084656,movie,N/A,N/A
Confessions of an Action Star,2005,20 Jan 2009,83 min,"Action, Comedy, Musical",Brad Martin,David Leitch,"Holmes Osborne, David Leitch, Kelly Hu, Eric Roberts","In the spring of 1986, no one had heard of Frank Sledge. One year later, Bloodfight 2 was #1 at the box office... And a star was born.","USA, Austria",N/A,,N/A,2.9,582,tt0337887,movie,N/A,Vivendi Entertainment
The Burly Man Chronicles,2004,07 Dec 2004,95 min,Documentary,Josh Oreck,N/A,"Aaliyah, Phillip Abbello, Mary Alice, Kym Barrett","This mammoth documentary takes use through the making of both ""Matrix Reloaded, The"" (2003) and ""Matrix Revolutions, The"" (2003). On top of seeing many pre-production and production ...",USA,N/A,,N/A,7.0,102,tt0439486,movie,N/A,N/A
The Matrix Revolutions: Hel,2004,07 Dec 2004,28 min,"Documentary, Short",Josh Oreck,N/A,"Keir Beck, Glenn Boswell, Bob Bowles, Steve Courtley","This making-of piece is composed of six segments: We get ""Coat Check"" (4:40), ""Upsidedown Under"" (5:11), ""Fast Break"" (5:46), ""Exploding Man"" (4:35), ""Gun Club"" (2:26) and ""The Extras of ...",USA,N/A,,N/A,N/A,N/A,tt5325432,movie,N/A,N/A
The Matrix Recalibrated,2004,06 Apr 2004,27 min,"Documentary, Short",Josh Oreck,N/A,"Mary Alice, Lyndon Barrois, George Borshukov, Rodney Burke","The making of Matrix Revolutions, The (2003) is briefly touched on here in this documentary. Interviews with various cast and crew members inform us how they were affected by the deaths of ...",USA,N/A,,N/A,6.9,101,tt0410519,movie,N/A,N/A
Interviews from the Set of 'The Matrix Revolutions',2003,N/A,16 min,"Documentary, Short",N/A,N/A,"Laurence Fishburne, Nona Gaye, Carrie-Anne Moss, Jada Pinkett Smith",N/A,USA,N/A,,N/A,N/A,N/A,tt5700122,movie,N/A,N/A
The Matrix Revolutions: Behind the Scenes,2003,N/A,20 min,"Documentary, Short",N/A,N/A,"Nona Gaye, Jada Pinkett Smith, Keanu Reeves, Hugo Weaving",N/A,USA,N/A,,N/A,N/A,N/A,tt5700150,movie,N/A,N/A
The Matrix Reloaded: Pre-Load,2003,14 Oct 2003,22 min,"Documentary, Short",Josh Oreck,N/A,"Kym Barrett, Monica Bellucci, Geofrey Darrow, John Gaeta","This making-of piece offers the standard mix of movie snippets, behind the scenes materials, and interviews from cast and crew on the making of the film.",USA,N/A,,N/A,N/A,N/A,tt5319604,movie,N/A,N/A
The 2002 IFP/West Independent Spirit Awards,2002,23 Mar 2002,150 min,Documentary,N/A,"Billy Kimball, Steve Sobel, Alan Wieder","John Waters, Stockard Channing, Todd Field, Gael García Bernal",N/A,USA,N/A,,N/A,4.9,44,tt0312304,movie,N/A,N/A
One Taste Is Never Enough... The Pleasures of 'Chocolat',2000,N/A,29 min,Documentary,N/A,N/A,"Lasse Hallström, Leslie Holleran, David Brown, Kit Golden",N/A,USA,N/A,,N/A,8.0,21,tt0988042,movie,N/A,N/A
CR: Enter the Matrix,2009,07 Dec 2009,N/A,"Action, Adventure, Sci-Fi",Ohkata,"Andy Wachowski, Lana Wachowski","Laurence Fishburne, Carrie-Anne Moss, Keanu Reeves, Hugo Weaving",Xbox video game that stores the matrix trilogy in one game. You play as the main character Neo.,Japan,N/A,,N/A,8.3,920,tt1675286,game,N/A,N/A
The Matrix: Path of Neo,2005,08 Nov 2005,N/A,"Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Mary Alice, Julian Arahanga, David Aston, Helmut Bakaitis",Play as Neo and battle your way through familiar fights and situations from the Matrix trilogy. Every choice has a consequence. From the Wachowski Brothers.,USA,N/A,,N/A,7.5,"1,119",tt0451118,game,N/A,N/A
Jessica Jones,2015–2019,20 Nov 2015,56 min,"Action, Crime, Drama, Sci-Fi, Thriller",N/A,Melissa Rosenberg,"Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss","Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.",USA,Won 1 Primetime Emmy. Another 6 wins & 16 nominations.,,N/A,8.0,"171,501",tt2357547,series,,
Iron Fist,2017–2018,17 Mar 2017,55 min,"Action, Adventure, Crime, Fantasy, Sci-Fi",N/A,Scott Buck,"Finn Jones, Jessica Henwick, Jessica Stroup, Tom Pelphrey",A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.,USA,1 nomination.,,N/A,6.6,"99,750",tt3322310,series,,
Humans,2015–,28 Jun 2015,42 min,"Drama, Sci-Fi",N/A,N/A,"Katherine Parkinson, Gemma Chan, Lucy Carless, Tom Goodman-Hill",In a parallel present where the latest must-have gadget for any busy family is a 'Synth' - a highly-developed robotic servant that's so similar to a real human it's transforming the way we live.,"UK, USA, Sweden",4 nominations.,,N/A,8.0,"32,137",tt4122068,series,,
Daredevil,2015–2018,10 Apr 2015,54 min,"Action, Crime, Drama, Fantasy, Sci-Fi, Thriller",N/A,Drew Goddard,"Charlie Cox, Deborah Ann Woll, Elden Henson, Vincent D'Onofrio","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",USA,Nominated for 5 Primetime Emmys. Another 5 wins & 24 nominations.,,N/A,8.7,"326,648",tt3322312,series,,
Frankenstein,2015,29 Oct 2015,89 min,"Horror, Sci-Fi, Thriller",Bernard Rose,"Bernard Rose, Mary Shelley (novel)","Xavier Samuel, Carrie-Anne Moss, Danny Huston, Matthew Jacobs",A married couple of scientists create a modern-day monster.,"USA, Germany",3 wins.,100%,N/A,5.1,"2,077",tt4086032,movie,N/A,Eclectic Pictures
Elephant Song,2014,26 Feb 2015,110 min,Drama,Charles Binamé,Nicolas Billon,"Bruce Greenwood, Xavier Dolan, Catherine Keener, Carrie-Anne Moss",A psychiatrist is drawn into a complex mind game when he questions a disturbed patient about the disappearance of a colleague.,Canada,3 wins & 11 nominations.,56%,N/A,6.6,"3,227",tt3754976,movie,N/A,Melenny Productions
Dragon Nest: Warriors' Dawn,2014,31 Jul 2014,88 min,"Animation, Adventure, Family, Fantasy",Yuefeng Song,"Bill Borden (screenplay), Terry Izumi (story), Yuefeng Song (screenplay), Yuefeng Zhong (screenplay), Ran Zhuo (screenplay), Ran Zhuo (story)","Jiao Xu, Guanlin Ji, Ying Huang, Dawei Shen",Lambert joins the Dragon Slayers' League to save Altera from the Black Dragon.,China,1 nomination.,,N/A,6.4,"2,773",tt2911342,movie,N/A,Mili Pictures
Vegas,2012–2013,25 Sep 2012,44 min,"Action, Crime, Drama, Mystery",N/A,"Nicholas Pileggi, Greg Walker","Dennis Quaid, Michael Chiklis, Carrie-Anne Moss, Taylor Handley","Ralph Lamb, a former MP for the US Army, becomes sheriff. His brother, Jack, and his son, Dixon, are deputized. Meanwhile, Vincent Savino comes from Chicago to Vegas to run The Savoy hotel and casino.",USA,2 nominations.,,N/A,7.3,"6,960",tt2262383,series,,
Silent Hill: Revelation,2012,26 Oct 2012,95 min,Horror,M.J. Bassett,"M.J. Bassett, Laurent Hadida (adaptation), Keiichiro Toyama (video games)","Adelaide Clemens, Kit Harington, Carrie-Anne Moss, Sean Bean","When her adoptive father disappears, Sharon Da Silva is drawn into a strange and terrifying alternate reality that holds answers to the horrific nightmares that have plagued her since childhood.","Canada, France, USA",8 nominations.,8%,16,5.0,"56,588",tt0938330,movie,"$17,529,157",Open Road Films
Mass Effect 3,2012,06 Mar 2012,N/A,"Action, Adventure, Sci-Fi",Casey Hudson,"John Dombrow (senior writer), Sylvia Feketekuty, Chris Hepler, Ann Lemay, Neil Pollner (senior writer), Cathleen Rootsaert, Jay Turner (additional writing), Mac Walters (lead writer), Jay Watamaniuk, Patrick Weekes (senior writer)","Jennifer Hale, Mark Meer, Kimberly Brooks, Raphael Sbarge","Earth is under attack by a monstrous race of gigantic living ships known as the Reapers. Even if Commander Shepard could unite all surviving species in the universe, only a miracle can help. Then again, Shepard did come back from the dead.",Canada,5 wins & 9 nominations.,,N/A,9.2,"9,758",tt1839558,game,N/A,N/A
Normal,2011,11 Mar 2011,90 min,Drama,Timothy Busfield,Michael Sardo,"Carrie-Anne Moss, Katherine LaNasa, Brandon Jay McLaren, Michelle Harrison",N/A,USA,N/A,,N/A,7.8,12,tt1837704,movie,N/A,N/A
Mass Effect 2,2010,26 Jan 2010,N/A,"Action, Adventure, Sci-Fi",Casey Hudson,"Chris Hepler, Drew Karpyshyn, Brian Kindregan, Lukas Kristjanson, Chris L'Etoile, Cathleen Rootsaert (dialogue editor), Jay Turner, Mac Walters (lead writer), Patrick Weekes","Shohreh Aghdashloo, Maggie Baird, Adam Baldwin, Michael Beattie","After being revived from death and having to join a pro-human organization without a choice, Commander Shepard must assemble a team, battle a new threat, and make tough choices in order to save the galaxy from total annihilation once more.","USA, Canada",9 wins & 21 nominations.,,N/A,9.6,"15,384",tt1540125,game,N/A,N/A
Pretty/Handsome,2008,01 Jun 2008,67 min,Drama,Ryan Murphy,"Brad Falchuk, Ryan Murphy","Joseph Fiennes, Carrie-Anne Moss, Blythe Danner, Robert Wagner",A married father of two tells his wife and teenage sons that he is transsexual.,USA,N/A,,N/A,7.1,354,tt0871425,movie,N/A,N/A
Suspect,2007,N/A,N/A,"Crime, Drama",Guy Ritchie,Ed Zuckerman,"Carrie-Anne Moss, Michael Ealy, Charles S. Dutton, Erik Palladino",A dramatic series that examines all of the suspects in a recently committed crime.,USA,N/A,,N/A,6.4,180,tt0948541,movie,N/A,N/A
Disturbia,2007,13 Apr 2007,105 min,"Crime, Drama, Mystery, Thriller",D.J. Caruso,"Christopher Landon (screenplay), Carl Ellsworth (screenplay), Christopher Landon (story)","Shia LaBeouf, Sarah Roemer, Carrie-Anne Moss, David Morse",A teen living under house arrest becomes convinced his neighbor is a serial killer.,USA,4 wins & 6 nominations.,69%,62,6.9,"206,885",tt0486822,movie,"$80,050,171",Dreamworks
Mini's First Time,2006,09 Aug 2007,91 min,"Comedy, Crime, Drama",Nick Guthe,Nick Guthe,"Alec Baldwin, Nikki Reed, Carrie-Anne Moss, Jeff Goldblum","A rebellious girl hooks up with an escort agency, where her stepfather is a client.",USA,1 win.,52%,45,5.8,"7,755",tt0425253,movie,"$21,828",First Independent Pictures
The Chumscrubber,2005,05 Oct 2006,108 min,"Comedy, Drama",Arie Posin,"Arie Posin (story), Zac Stanford (screenplay)","Jamie Bell, Camilla Belle, Justin Chatwin, Glenn Close",A darkly satiric story about life crumbling in the midst of a seemingly idyllic suburbia.,"USA, Germany",1 nomination.,37%,41,7.0,"17,275",tt0406650,movie,N/A,Picturehouse
The Matrix Revolutions,2003,05 Nov 2003,129 min,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski, Lilly Wachowski (characters), Lana Wachowski (characters)","Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan",The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,USA,4 wins & 30 nominations.,36%,47,6.7,"414,362",tt0242653,movie,"$139,076,032",Warner Bros. Pictures
Enter the Matrix,2003,15 May 2003,N/A,"Action, Adventure, Sci-Fi, Thriller","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Mary Alice, Christine Anu, Steve Bastoni, Don Battee","The game's story picks up just before The Matrix Reloaded and runs parallel to that of the film. Bend the rules of the Matrix with martial arts, pilot the fastest hovercraft in the fleet, or just fight with lots of guns.",USA,2 wins & 2 nominations.,,N/A,6.9,"2,936",tt0277828,game,N/A,N/A
